post_id,text,speech_act,token_length
1113705567782969344_twitter,<user> <user> there shd be a film called no hindus in kashmir wud be perfect islamic fanaticsm movement in kashmir,UNCLEAR,20
24555628_gab,jews defends jews regardless muslims defend muslins regardless christian european attack christians christian people are on their own and jews and muslims have another home we don ffs we do not why can not people understand that it not that difficult,UNCLEAR,41
1225661082083024897_twitter,caucasians wearing masks to prevent coronavirus and still don ’ t wash their hands,UNCLEAR,14
1179015546890784768_twitter,<user> besudes guilt saviour complex among whites has reached such an alarming level that they want to save indian girls from being raped when the rate of sexual assault in their own countries is significantly higher,UNCLEAR,36
1178422453749604364_twitter,blow a stack for yo niggas with yo trapping ass,UNCLEAR,10
1146139541805228032_twitter,<user> yes they put fear in black people jews and even white civil rights workers and they deny the holocaust ever happened,UNCLEAR,22
1178491915894956033_twitter,they playing a lot of ethnic music at this white ass wedding,UNCLEAR,12
1211444261935288320_twitter,im literally not a zionist but dear lord how hard is it to just recognize that people just genuinely despise jews,UNCLEAR,21
1079140690200854528_twitter,<user> humor negro 😂 😂 😂 😂 😂,UNCLEAR,8
1254517888599429125_twitter,i am confused how a president blocked stimulus checks for those who married to immigrants while he himself married to an immigrant,UNCLEAR,22
16323644_gab,got a couple more companies you can boycott this christmas season first one is ford they have got several <number> ads out featuring blip length shots of white men w other than white women this is becoming the norm too you defile the white man that will drive our women into their hands wn,DIRECT_ADDRESS,54
16953323_gab,you are completely correct without it communication breaks down leading to distortions misrepresentations this is a very serious problem among white males who failed to learn the language effectively,DIRECT_ADDRESS,29
17398393_gab,your idea of compassion is allowing kate steinle killer go free that not compassion it a mental illness let be compassionate to the legal citizens of this country stop funding illegal immigrants stop encouraging lawlessness and build that fucking wall maga gabfam news,DIRECT_ADDRESS,43
1165804439632011264_twitter,<user> i think immigrants should replace people like you,DIRECT_ADDRESS,9
1269940233468096513_twitter,<user> why should you ban immigrants from operating small business every business start somewhere and tomorrow that will give people job,DIRECT_ADDRESS,21
1162556202821115904_twitter,<user> tell us first who are these white supremacists how do we know that you are not one of them,DIRECT_ADDRESS,20
1178476858662215680_twitter,<user> <user> <user> <user> <user> <user> <user> white people fought and suffered for your ancestors freedom,DIRECT_ADDRESS,16
3686020_gab,you know what sicker if even possible than that happened to the white kid kidnapped in chicago is that some sick fucking people see it for anything else than what it fucking is a brutal unacceptable hate crime fuck you people like don t lemon worst reporter in cnn in <number>,DIRECT_ADDRESS,51
25401380_gab,it used to be associating with jews meant you had a good accountant or doctor and an extra dinner party to mark on the calendar now it means fbi raids bdsm perversion soiled potted plants and deep state coup attempts how the chosen have fallen,DIRECT_ADDRESS,45
1193293522142547968_twitter,<user> i hate you,DIRECT_ADDRESS,4
18790322_gab,i live and work with many legal mexican immigrants who are great citizens and trump supporters they have no problem with deporting illegals maga,GROUP_STATEMENT,24
1178226486081286144_twitter,<user> <user> i witnessed my black teammates defend and agree with my overtly racist white friend for calling a black dude a nigger i tried to defend dude being called nigger and they all hated on me,GROUP_STATEMENT,37
1098473118127972352_twitter,be careful with thoes people who always joking around and can not never be serious,GROUP_STATEMENT,15
20139428_gab,race is a social construct goy no difference see how beautiful all women are nsfw,GROUP_STATEMENT,15
1179079505173860354_twitter,<user> and exactly how many of those muslim countries are ready to accept the muslim refugees,GROUP_STATEMENT,16
1179098553320386560_twitter,black ppl who went to all white schools become annoying ass adults 😂 😂 😂 😂,GROUP_STATEMENT,16
1179069022752645120_twitter,<user> <user> all white men do is lie and colonize nothing else,GROUP_STATEMENT,12
15611789_gab,well it sleeping beauty they plan to rewrite first cause she never gave consent to be kissed by the prince the left are seriously fucked in the head and if the bbc show it i am sure she will be a black moslem like thor was,GROUP_STATEMENT,46
1096132147054854144_twitter,they either pick the gimmick light skin bitch or the white boy to profit off of and it never works,GROUP_STATEMENT,20
1209188418472701952_twitter,hugs each amp every akkian out there maa hod di salgay fans ki sonagachi ki item salman,GROUP_STATEMENT,17
10672407_gab,people are going to blame the white nationalists for what happened but they were initially peaceful before antifa showed up what happened yesterday is the result of political correctness and the left legitimising political violence that why the establishment leftists do not condemn antifa <number> <number>,NARRATIVE,46
12329944_gab,would be hilarious if the un building was turned into homeless shelter or hell why not a refugee center,NARRATIVE,19
19966687_gab,omfg they are still repeating the fake news that the killer was a white supremacist 🤣 <user> ‍ he hurled slurs at blacks and muslims and according to the anti defamation league had ties to white supremacists,NARRATIVE,37
1179094095710568448_twitter,me and <user> were talking about it cosplayers and she was like if this richie cosplayer took off their glasses they would look like mike but theyre white stranger things,NARRATIVE,30
1178626145291358208_twitter,i am not surprised that boris johnson made it to the list but surprised that our <number> inch guy somehow has no sexual harassment complaint against him or have i been sleeping go back modi me too,NARRATIVE,37
1178702798063636481_twitter,<user> yeah while i do not agree with horrible acts of violence angela is taking revenge as a queer person on these horrible bullies especially the pedo carelessly there for shock sure but also early 8 0 was much different rape and revenge movies were still look at as empowering,NARRATIVE,50
11574607_gab,in the <number> <number> zipper head and slope were pretty fashionable i do believe they covered the gambit of asians,NARRATIVE,20
9841810_gab,jews couch their distrust of whites as if it were a logical response to random violence that we routinely heap upon them because of our barbaric gentile ways the truth though is that they want us gone because we are the only ones who routinely oppose their nefarious schemes for domination,NARRATIVE,51
1178858224658911232_twitter,<user> shes a bum n a world renown racist shes on par with farankhan n rev jeremiah wright michelle had non stop criticism for cops white christian repubs jews israel our military i support israel <percent> they r our allies in the middle east m obama soiled white house w her rhetoric,NARRATIVE,52
24783666_gab,australia is not a nation of immigrants but settlers and pioneers south australia is the only part that was settled by euro immigration and its one of the tinniest states,NARRATIVE,30
1177408103282688001_twitter,<user> how can rbi put such limits this has to change and make culprits pay for it must stop harassment of depositors,WISH_DESIRE,22
1191806356191186944_twitter,btw can i just say voting in washington is a fucking dream every state should do this,WISH_DESIRE,17
1178863310164447234_twitter,<user> they robbed them while serving looks too and they robbed the brooklyn museum tbh more shows should be about queer people stealing from white cishet institutions,WISH_DESIRE,27
16299654_gab,have been suspended four times by twitter always when content said something re moslems but truth also seeing that second largest shareholder is a moslem prince alwaleed bin talal bin abdulaziz alsaud not surprising so have drifted into gab ai for a better time and no moslem appeasement hope,WISH_DESIRE,49
21593945_gab,four moslem mp have been sent suspicious packages their acting like its something to worry about they need to chill out its just parcel parcel of life in a multicultural shit hole i am sure mayor khan would agree inshallah,WISH_DESIRE,40
1178672624186138624_twitter,<user> should have been removed the last time he threatened this but making laws against people brown people black people gay people female people sick people poor people homeless people refugee people is more important than protecting our democracy of the people <user>,WISH_DESIRE,43
1178763669397790722_twitter,<user> let us some queer person goes on publicly to say that all straight people should be killed would it be ok because reverse homophobia does not exist 🙄,WISH_DESIRE,29
4450471_gab,i think spicer is going to need to start using videos and charts and graphs to really teach the media the truth about issues like violence in chicago violent immigrants etc mere words are not enough the narrative in their heads is too strong,WISH_DESIRE,44
1091287948237176833_twitter,maria bartiromo at record speed and extremists have to host refugees as this administration over <number> legislation approvals,WISH_DESIRE,18
1105942670239776773_twitter,if a hard border goes up there will be violence they just tryna make it seem like we brought it upon ourselves,WISH_DESIRE,22
1098349742675898368_twitter,<user> what about us white arabs,SHORT_LABEL,6
1090157360981536769_twitter,phoebe bridgers is a sociopath,SHORT_LABEL,5
1177377270928957441_twitter,bears last lmaoo niggas team tho,SHORT_LABEL,6
1176161132488339456_twitter,<user> that ’ pretty gay bro,SHORT_LABEL,6
1088873336657059841_twitter,<user> yeah there all nazis,SHORT_LABEL,5
1178669116200247298_twitter,is muhummad muslim or islam,SHORT_LABEL,5
1179079220514832384_twitter,this weather for jadakiss dykes,SHORT_LABEL,5
1145938479450337280_twitter,this movie is ghetto,SHORT_LABEL,4
1246340638066585602_twitter,<user> <user> he ’ gay himself,SHORT_LABEL,6
1170190402357465089_twitter,all these niggas is parrots,SHORT_LABEL,5
