Feature,Coefficient
has_target,3.1445601791372315
hurtlex_ddp,0.7007320208849783
hurtlex_rci,-0.6650714528969505
hurtlex_or,-0.5024640550584061
hurtlex_pr,0.35397503158651505
hurtlex_asf,0.3163040900603016
hurtlex_ps,-0.2820119580042046
hurtlex_an,-0.2324972589344236
hurtlex_re,0.12691939229593063
hurtlex_dmc,0.12570128729859179
hurtlex_pa,0.12448692849776666
hurtlex_asm,0.09259037814055349
hurtlex_svp,-0.09222805680171976
hurtlex_qas,-0.07171522926210189
hurtlex_is,0.047628330845247646
hurtlex_om,-0.0204894270896381
hurtlex_ddf,-0.017349590743477597
hurtlex_cds,-0.014966878557765718
hurtlex_category_count,-0.010456447738722677
token_length,0.00362163074342371
