category,description,count,percentage,borderline_rate
cds,Cognitive Disabilities,3132,40.08%,35.22%
ps,Physical/Mental Diseases,2643,33.82%,30.42%
asm,Racial Slurs,1982,25.36%,33.60%
om,Crimes/Immoral,1553,19.87%,33.42%
re,Negative Moral,1513,19.36%,30.60%
an,Animal Names,1121,14.35%,33.01%
dmc,Mental Disabilities,1006,12.87%,34.00%
or,Plants/Food,872,11.16%,33.60%
ddp,Body Parts,827,10.58%,40.87%
qas,LGBTQ Slurs,634,8.11%,34.38%
pr,Prostitution,501,6.41%,34.73%
svp,Sexual Violence,286,3.66%,31.82%
is,Low Socio-Economic,280,3.58%,31.43%
asf,Anti-Women,265,3.39%,38.49%
ddf,Anti-Men,212,2.71%,33.49%
pa,Physical Disabilities,118,1.51%,37.29%
rci,Religious,10,0.13%,30.00%
